Onset,Offset,Duration,Number of Faces,Gender,Age,Visual-Positive,Visual-Negative,Visual-Beauty
28.00,28.10,0.10,1,Male,34,0.00,0.06,0.45
28.10,28.20,0.10,1,Male,35,0.07,0.90,0.43
28.20,28.30,0.10,1,Male,33,0.04,0.95,0.42
28.30,28.40,0.10,1,Male,32,0.00,0.99,0.44
28.40,28.50,0.10,1,Male,34,0.01,0.98,0.41
28.50,28.60,0.10,1,Male,36,0.01,0.99,0.42
28.60,28.70,0.10,1,Male,33,0.01,0.96,0.42
28.70,28.80,0.10,1,Male,35,0.00,0.97,0.41
28.80,28.90,0.10,1,Male,31,0.00,0.87,0.43
28.90,29.00,0.10,1,Male,27,0.00,0.04,0.50
29.00,29.10,0.10,1,Male,27,0.00,0.01,0.48
29.10,29.20,0.10,1,Male,26,0.00,0.00,0.52
29.20,29.30,0.10,1,Male,25,0.00,0.03,0.54
29.30,29.40,0.10,1,Male,28,0.00,0.00,0.52
29.40,29.50,0.10,1,Male,33,0.00,0.00,0.47
29.50,29.60,0.10,1,Male,35,0.00,0.01,0.41
29.60,29.70,0.10,1,Male,35,0.00,0.08,0.43
29.70,29.80,0.10,1,Male,37,0.10,0.19,0.39
29.80,29.90,0.10,1,Male,32,0.24,0.02,0.41
29.90,30.00,0.10,1,Male,33,0.01,0.36,0.48
30.00,30.10,0.10,1,Male,34,0.00,0.23,0.51
30.10,30.20,0.10,1,Male,32,0.00,0.42,0.51
30.20,30.30,0.10,1,Male,32,0.00,0.86,0.53
30.30,30.40,0.10,1,Male,34,0.00,0.93,0.52
30.40,30.50,0.10,1,Male,40,0.00,0.06,0.43
30.50,30.60,0.10,1,Male,42,0.00,0.19,0.42
30.60,30.70,0.10,1,Male,36,0.00,1.00,0.48
30.70,30.80,0.10,1,Male,28,0.00,0.71,0.50
30.80,30.90,0.10,1,Male,31,0.00,0.02,0.47
30.90,31.00,0.10,1,Male,34,0.00,0.95,0.46
31.00,31.10,0.10,1,Male,28,0.00,0.14,0.45
31.10,31.20,0.10,1,Male,30,0.04,0.19,0.42
